Date,Open,High,Low,Close,Volume
2024-09-01,6.61,6.63,6.2,6.25,110276.84
2024-09-02,6.23,6.57,6.23,6.57,133689.38
2024-09-03,6.57,6.76,6.24,6.27,179295.92
2024-09-04,6.27,6.45,5.98,6.34,160510.54
2024-09-05,6.34,6.41,6.14,6.18,80896.58
2024-09-06,6.19,6.32,5.81,6.0,189248.95
2024-09-07,6.01,6.25,5.98,6.16,87363.4
2024-09-08,6.16,6.43,6.13,6.36,59618.97
2024-09-09,6.35,6.68,6.34,6.61,98350.28
2024-09-10,6.6,6.74,6.52,6.68,89114.64
2024-09-11,6.68,6.77,6.39,6.68,325145.9
2024-09-12,6.68,7.14,6.68,6.99,317797.51
2024-09-13,6.99,7.1,6.87,7.06,95874.54
2024-09-14,7.06,7.09,6.88,7.03,110442.25
2024-09-15,7.02,7.12,6.82,6.86,96244.61
2024-09-16,6.86,6.98,6.73,6.81,211161.7
2024-09-17,6.8,7.06,6.71,6.98,90726.19
2024-09-18,6.98,7.11,6.7,7.1,155577.97
2024-09-19,7.11,7.41,6.92,7.29,345644.98
2024-09-20,7.29,7.52,7.07,7.29,435456.56
2024-09-21,7.28,7.49,7.19,7.41,235042.99
2024-09-22,7.41,7.42,7.1,7.33,201954.9
2024-09-23,7.34,7.57,7.2,7.54,360979.09
2024-09-24,7.54,7.8,7.38,7.6,173291.0
