Date,Open,High,Low,Close,Volume
2024-09-01,0.3277,0.3293,0.3074,0.3121,8251318.6
2024-09-02,0.3118,0.3357,0.308,0.3333,8046222.2
2024-09-03,0.3331,0.3377,0.3164,0.3172,6565601.2
2024-09-04,0.3173,0.3348,0.299,0.3293,9055889.2
2024-09-05,0.3292,0.3317,0.3174,0.3199,5607282.7
2024-09-06,0.3198,0.3305,0.296,0.3061,11519931.0
2024-09-07,0.3058,0.3234,0.3023,0.3144,4983483.8
2024-09-08,0.3142,0.3401,0.3111,0.3341,7865178.0
2024-09-09,0.3341,0.3491,0.3284,0.3411,5863805.1
2024-09-10,0.341,0.3495,0.3336,0.3468,4426001.7
2024-09-11,0.3468,0.3471,0.3184,0.3291,7168537.2
2024-09-12,0.3289,0.3527,0.3289,0.3507,6814075.7
2024-09-13,0.3508,0.3648,0.3488,0.3556,9817836.5
2024-09-14,0.3557,0.3566,0.3432,0.344,4405275.4
2024-09-15,0.344,0.3526,0.3253,0.33,4570656.9
2024-09-16,0.3296,0.3317,0.3117,0.3167,5083387.6
2024-09-17,0.3168,0.3507,0.3128,0.3495,8454192.5
2024-09-18,0.3495,0.3736,0.3361,0.3649,16661146.2
2024-09-19,0.3652,0.3725,0.3586,0.3642,9441068.6
2024-09-20,0.3649,0.3832,0.3573,0.3825,10465052.0
2024-09-21,0.3825,0.3855,0.3651,0.3837,6622190.2
2024-09-22,0.384,0.3846,0.3481,0.3616,8296753.5
2024-09-23,0.3613,0.386,0.3539,0.37,7738430.2
2024-09-24,0.3702,0.3855,0.3606,0.3835,7116989.9
