Date,Open,High,Low,Close,Volume
2024-09-01,1.06,1.115,1.025,1.035,1989721.6
2024-09-02,1.034,1.088,1.03,1.077,851608.5
2024-09-03,1.077,1.108,1.036,1.039,662482.9
2024-09-04,1.04,1.055,0.988,1.034,927455.8
2024-09-05,1.033,1.064,1.004,1.029,904998.9
2024-09-06,1.028,1.045,0.973,0.986,867166.0
2024-09-07,0.985,1.027,0.977,1.005,498053.9
2024-09-08,1.005,1.032,0.997,1.025,475586.7
2024-09-09,1.027,1.062,1.023,1.055,674369.3
2024-09-10,1.055,1.079,1.04,1.074,598055.0
2024-09-11,1.074,1.076,1.025,1.039,574928.0
2024-09-12,1.039,1.069,1.038,1.069,502511.5
2024-09-13,1.067,1.085,1.044,1.076,657734.4
2024-09-14,1.077,1.154,1.072,1.118,2653090.6
2024-09-15,1.115,1.139,1.053,1.06,1254349.9
2024-09-16,1.06,1.091,1.016,1.026,698991.7
2024-09-17,1.025,1.094,1.01,1.05,2596541.3
2024-09-18,1.051,1.08,1.017,1.079,750423.4
2024-09-19,1.079,1.124,1.079,1.111,1174670.5
2024-09-20,1.112,1.341,1.08,1.201,10595254.2
2024-09-21,1.202,1.239,1.15,1.195,3132381.9
2024-09-22,1.194,1.211,1.125,1.156,1196692.3
2024-09-23,1.156,1.179,1.131,1.155,1041247.5
2024-09-24,1.155,1.171,1.133,1.164,1093326.5
