Date,Open,High,Low,Close,Volume
2024-09-01,7.56,7.583,7.087,7.191,931624.21
2024-09-02,7.184,7.552,7.115,7.521,1146682.28
2024-09-03,7.524,7.645,7.144,7.162,1056429.13
2024-09-04,7.158,7.76,6.9,7.557,1887192.65
2024-09-05,7.557,7.645,7.131,7.233,1899472.95
2024-09-06,7.232,7.324,6.8,7.028,2729456.32
2024-09-07,7.026,7.229,6.993,7.06,1044710.33
2024-09-08,7.06,7.508,7.053,7.413,1511493.14
2024-09-09,7.416,7.864,7.396,7.783,1725849.33
2024-09-10,7.783,9.106,7.676,8.93,3676251.64
2024-09-11,8.931,8.963,8.371,8.665,5140036.45
2024-09-12,8.666,8.742,8.359,8.508,2667367.22
2024-09-13,8.508,8.733,8.156,8.618,2472371.95
2024-09-14,8.615,8.9,8.525,8.647,1714843.24
2024-09-15,8.648,8.802,8.212,8.326,1681314.4
2024-09-16,8.326,8.326,7.887,8.026,2101760.74
2024-09-17,8.026,8.288,7.811,7.912,2304106.1
2024-09-18,7.91,8.2,7.597,8.19,2594373.92
2024-09-19,8.191,8.42,7.988,8.084,3094302.19
2024-09-20,8.086,8.711,7.92,8.486,2892047.25
2024-09-21,8.484,8.6,8.242,8.532,1546414.76
2024-09-22,8.532,8.572,8.022,8.248,1610150.67
2024-09-23,8.247,8.731,8.06,8.708,3190028.86
2024-09-24,8.709,9.561,8.55,9.401,3981839.3
