Date,Open,High,Low,Close,Volume
2024-09-01,28.83,29.02,27.25,27.46,84215.59
2024-09-02,27.45,28.36,26.94,28.25,106636.26
2024-09-03,28.24,28.44,26.41,26.45,86025.53
2024-09-04,26.47,27.58,25.14,26.9,123772.49
2024-09-05,26.88,27.12,24.97,25.07,159381.32
2024-09-06,25.06,25.19,23.18,23.9,238472.19
2024-09-07,23.9,25.08,23.81,24.62,110906.52
2024-09-08,24.61,25.47,24.35,25.14,89629.89
2024-09-09,25.16,26.94,25.16,26.51,145722.96
2024-09-10,26.51,27.03,26.16,26.69,92780.7
2024-09-11,26.7,26.73,25.36,25.95,91640.46
2024-09-12,25.93,26.9,25.93,26.78,100299.09
2024-09-13,26.77,27.04,26.13,26.83,94129.98
2024-09-14,26.83,26.95,26.21,26.47,50079.88
2024-09-15,26.47,26.67,25.16,25.38,54750.02
2024-09-16,25.38,25.52,24.38,24.8,99095.2
2024-09-17,24.8,26.36,24.54,25.74,139202.85
2024-09-18,25.73,26.5,25.11,26.19,171648.01
