Date,Open,High,Low,Close,Volume
2024-09-01,1.2836,1.2962,1.216,1.2217,1305691.59
2024-09-02,1.2218,1.319,1.2139,1.3103,1562903.42
2024-09-03,1.3111,1.37,1.27,1.3132,3671075.51
2024-09-04,1.3151,1.45,1.2764,1.3505,6981003.67
2024-09-05,1.3516,1.3808,1.3,1.3208,2135963.18
2024-09-06,1.321,1.3294,1.2263,1.2592,2049019.93
2024-09-07,1.2592,1.2813,1.2292,1.246,1052653.36
2024-09-08,1.2461,1.2795,1.24,1.269,563792.48
2024-09-09,1.2694,1.33,1.2557,1.3149,1187158.06
2024-09-10,1.314,1.35,1.29,1.3167,1372832.97
2024-09-11,1.3166,1.3172,1.2802,1.2969,947131.49
2024-09-12,1.2962,1.325,1.2901,1.3116,824402.92
2024-09-13,1.3116,1.37,1.29,1.3294,1418622.61
2024-09-14,1.3294,1.369,1.2953,1.3133,1367997.65
2024-09-15,1.3138,1.33,1.277,1.292,856013.81
2024-09-16,1.2919,1.2958,1.25,1.2687,1186272.15
2024-09-17,1.2687,1.3029,1.2549,1.2931,1108912.31
2024-09-18,1.2924,1.3085,1.2642,1.3008,1126613.42
