Date,Open,High,Low,Close,Volume
2024-09-01,10.63,11.46,10.55,10.78,105705.888
2024-09-02,10.77,11.73,10.53,11.41,112285.411
2024-09-03,11.42,12.57,11.32,11.65,247753.732
2024-09-04,11.65,12.67,10.98,11.39,176746.133
2024-09-05,11.39,11.51,10.66,11.15,75611.472
2024-09-06,11.15,11.36,10.54,10.97,63439.562
2024-09-07,10.96,11.7,10.74,11.04,57847.395
2024-09-08,11.04,11.47,10.94,11.44,38917.12
2024-09-09,11.43,12.0,11.35,11.9,55683.473
2024-09-10,11.87,12.29,11.42,12.03,71497.785
2024-09-11,12.05,12.16,11.6,11.98,56420.932
2024-09-12,11.96,12.38,11.95,12.31,39563.995
2024-09-13,12.33,12.42,12.0,12.3,35253.326
2024-09-14,12.31,12.38,12.08,12.33,26342.897
2024-09-15,12.32,12.46,11.78,11.78,29158.763
2024-09-16,11.78,12.0,11.27,11.39,32592.616
2024-09-17,11.39,11.95,11.27,11.85,28287.316
2024-09-18,11.84,12.15,11.45,12.14,34837.648
