Date,Open,High,Low,Close,Volume
2024-09-01,0.0557,0.0559,0.0528,0.0536,20613344.0
2024-09-02,0.0536,0.0564,0.0525,0.0559,21568250.0
2024-09-03,0.0559,0.0578,0.0541,0.0542,12431620.0
2024-09-04,0.0542,0.0559,0.0512,0.0543,18511902.0
2024-09-05,0.0544,0.0545,0.0521,0.0526,11590639.0
2024-09-06,0.0525,0.0541,0.0488,0.0506,21365018.0
2024-09-07,0.0506,0.0524,0.0501,0.0519,6122804.0
2024-09-08,0.0518,0.0543,0.0512,0.0538,9695509.0
2024-09-09,0.0538,0.0566,0.0535,0.0561,16615012.0
2024-09-10,0.056,0.0595,0.0554,0.0587,17281055.0
2024-09-11,0.0587,0.0588,0.0546,0.0556,25253673.0
2024-09-12,0.0556,0.0582,0.0556,0.0578,18765223.0
2024-09-13,0.0578,0.0593,0.0567,0.0589,17812484.0
2024-09-14,0.0588,0.0598,0.0582,0.0593,9472141.0
2024-09-15,0.0593,0.0596,0.0558,0.0563,8258056.0
2024-09-16,0.0563,0.0564,0.0527,0.0534,33091197.0
2024-09-17,0.0535,0.056,0.0529,0.056,19878132.0
2024-09-18,0.056,0.0592,0.0545,0.0592,27150236.0
