Date,Open,High,Low,Close,Volume
2024-09-01,135.35,136.15,127.66,128.5,2928444.741
2024-09-02,128.5,135.39,126.8,134.94,3146315.554
2024-09-03,134.95,138.13,127.15,127.54,2627381.925
2024-09-04,127.54,134.98,122.6,133.64,3814059.109
2024-09-05,133.64,135.58,127.85,129.41,2762037.052
2024-09-06,129.4,134.29,120.0,125.05,5494252.37
2024-09-07,125.05,129.5,124.13,127.71,2111596.965
2024-09-08,127.72,131.7,126.61,130.15,1971919.866
2024-09-09,130.15,137.09,126.96,135.08,3664956.878
2024-09-10,135.07,138.0,132.5,135.63,2305171.22
2024-09-11,135.64,135.91,128.2,132.42,3139383.418
2024-09-12,132.43,136.78,132.38,136.05,2273359.309
2024-09-13,136.06,139.8,131.7,139.02,2714532.025
2024-09-14,139.02,139.8,135.6,137.14,1396833.298
2024-09-15,137.15,137.95,130.43,131.37,1850456.74
2024-09-16,131.38,132.4,128.91,131.47,2136388.305
2024-09-17,131.47,135.55,130.12,131.54,2339845.911
2024-09-18,131.54,134.45,127.07,134.34,3309787.258
