Date,Open,High,Low,Close,Volume
2024-09-01,0.6888,0.7125,0.6516,0.6603,6220002.0
2024-09-02,0.6604,0.7408,0.6235,0.7128,9102310.0
2024-09-03,0.7127,0.7156,0.6378,0.639,4423165.0
2024-09-04,0.6392,0.6964,0.5909,0.6567,9209500.0
2024-09-05,0.6566,0.6652,0.6086,0.6258,5468198.0
2024-09-06,0.6257,0.6457,0.5781,0.6096,7300141.0
2024-09-07,0.6093,0.6225,0.6009,0.6078,1898908.0
2024-09-08,0.6075,0.6734,0.6048,0.6728,3496305.0
2024-09-09,0.6728,0.7347,0.6655,0.7257,7735190.0
2024-09-10,0.7279,0.878,0.7157,0.8594,20387418.0
2024-09-11,0.86,0.889,0.8134,0.8501,25229903.0
2024-09-12,0.8502,0.8741,0.795,0.8215,11130312.0
2024-09-13,0.8215,0.8372,0.7884,0.7998,13890764.0
2024-09-14,0.7991,0.8222,0.7747,0.8216,8847695.0
2024-09-15,0.8217,0.974,0.8164,0.9074,34016273.0
2024-09-16,0.9074,0.9081,0.8419,0.86,10914355.0
2024-09-17,0.8601,0.8822,0.8316,0.8603,10928081.0
2024-09-18,0.8586,0.9546,0.7863,0.9304,16255708.0
