Date,Open,High,Low,Close,Volume
2024-09-01,1.229,1.244,1.176,1.186,905374.71
2024-09-02,1.185,1.249,1.183,1.245,455557.66
2024-09-03,1.244,1.262,1.185,1.188,576517.46
2024-09-04,1.188,1.234,1.148,1.226,505575.91
2024-09-05,1.226,1.229,1.175,1.189,415829.86
2024-09-06,1.191,1.261,1.129,1.165,1585233.56
2024-09-07,1.165,1.193,1.16,1.177,242063.94
2024-09-08,1.176,1.21,1.171,1.187,232922.27
2024-09-09,1.185,1.253,1.172,1.246,579269.64
2024-09-10,1.247,1.269,1.232,1.262,382523.71
2024-09-11,1.262,1.263,1.22,1.259,327677.29
2024-09-12,1.261,1.274,1.247,1.269,303125.75
2024-09-13,1.271,1.291,1.261,1.288,466665.4
2024-09-14,1.288,1.291,1.267,1.28,263818.66
2024-09-15,1.28,1.289,1.221,1.228,249461.36
2024-09-16,1.228,1.231,1.185,1.201,546110.6
2024-09-17,1.201,1.247,1.188,1.225,569123.18
2024-09-18,1.225,1.264,1.191,1.263,718792.95
