Date,Open,High,Low,Close,Volume
2024-09-01,0.2062,0.2203,0.1946,0.204,28392418.0
2024-09-02,0.2039,0.2441,0.1985,0.2412,49030729.0
2024-09-03,0.2412,0.2463,0.2278,0.2293,26359414.0
2024-09-04,0.2292,0.2403,0.2175,0.224,23183940.0
2024-09-05,0.224,0.2253,0.2095,0.2131,11758894.0
2024-09-06,0.2131,0.2156,0.1937,0.1997,11847780.0
2024-09-07,0.1997,0.2051,0.1944,0.1976,6524531.0
2024-09-08,0.1975,0.2136,0.1966,0.2069,11297983.0
2024-09-09,0.2069,0.2188,0.2037,0.2144,5966002.0
2024-09-10,0.2145,0.22,0.2116,0.2189,6158587.0
2024-09-11,0.2188,0.2191,0.2019,0.2095,10335523.0
2024-09-12,0.2094,0.2175,0.2091,0.2161,5359406.0
2024-09-13,0.2162,0.2293,0.2125,0.2287,8902114.0
2024-09-14,0.2288,0.2388,0.224,0.2268,9331205.0
2024-09-15,0.2267,0.2286,0.2033,0.2063,10390285.0
2024-09-16,0.2063,0.2063,0.1888,0.1919,14688342.0
2024-09-17,0.1919,0.2023,0.19,0.2008,12793832.0
2024-09-18,0.2008,0.2274,0.1982,0.227,18840879.0
