Date,Open,High,Low,Close,Volume
2024-09-01,0.2983,0.2992,0.2831,0.2855,1796848.0
2024-09-02,0.2852,0.3032,0.2813,0.3019,1441788.0
2024-09-03,0.3017,0.3078,0.2859,0.2863,2338959.0
2024-09-04,0.2864,0.3025,0.2714,0.2969,2602142.0
2024-09-05,0.2968,0.2986,0.2839,0.2859,1914134.0
2024-09-06,0.286,0.2936,0.2682,0.2784,2823427.0
2024-09-07,0.2784,0.2909,0.2767,0.2854,2045657.0
2024-09-08,0.2856,0.2957,0.2841,0.2925,1328346.0
2024-09-09,0.2925,0.3058,0.2905,0.3015,1953699.0
2024-09-10,0.3015,0.3155,0.2965,0.3102,3085974.0
2024-09-11,0.3101,0.3216,0.2977,0.3053,3909699.0
2024-09-12,0.3054,0.3115,0.302,0.3109,1553275.0
2024-09-13,0.3109,0.3228,0.3089,0.321,2449465.0
2024-09-14,0.3211,0.3216,0.3125,0.3155,1462956.0
2024-09-15,0.3156,0.3193,0.2996,0.3012,1942693.0
2024-09-16,0.3009,0.3111,0.2958,0.3011,3675395.0
2024-09-17,0.301,0.3133,0.2987,0.3108,2093699.0
2024-09-18,0.3108,0.3187,0.2984,0.3186,1647281.0
2024-09-19,0.3191,0.3381,0.3166,0.338,3327528.0
2024-09-20,0.3383,0.5295,0.3337,0.5212,96257603.0
2024-09-21,0.5213,0.59,0.444,0.5428,87260747.0
2024-09-22,0.5427,0.5438,0.4509,0.4574,22152253.0
2024-09-23,0.4574,0.4575,0.4248,0.4295,10301634.0
2024-09-24,0.4296,0.4352,0.414,0.4351,8340359.0
