Date,Open,High,Low,Close,Volume
2024-09-01,1.0,1.005,0.969,0.975,773079.37
2024-09-02,0.976,1.013,0.967,1.01,791034.03
2024-09-03,1.01,1.019,0.972,0.975,875539.82
2024-09-04,0.976,1.0,0.939,0.991,1062252.35
2024-09-05,0.991,0.995,0.953,0.965,910569.5
2024-09-06,0.964,0.98,0.886,0.914,1572661.39
2024-09-07,0.914,0.945,0.912,0.927,703849.75
2024-09-08,0.927,0.946,0.919,0.941,613654.31
2024-09-09,0.941,0.993,0.926,0.987,1251631.46
2024-09-10,0.986,1.003,0.976,1.001,880501.41
2024-09-11,1.001,1.001,0.949,0.976,882434.58
2024-09-12,0.975,0.99,0.96,0.981,814622.67
2024-09-13,0.981,1.012,0.968,1.009,934603.08
2024-09-14,1.01,1.01,0.983,0.995,681034.96
2024-09-15,0.996,1.002,0.954,0.96,563499.47
2024-09-16,0.959,0.967,0.938,0.954,941029.8
2024-09-17,0.954,0.991,0.944,0.976,835643.07
2024-09-18,0.976,0.998,0.952,0.996,1092170.52
2024-09-19,0.996,1.031,0.99,1.012,1483988.34
2024-09-20,1.012,1.075,1.006,1.044,2012122.8
2024-09-21,1.045,1.06,1.035,1.058,773983.47
2024-09-22,1.058,1.063,1.024,1.05,810702.54
2024-09-23,1.05,1.076,1.033,1.059,1209549.64
2024-09-24,1.059,1.067,1.031,1.065,947671.41
